Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image
1,ESP32-C3-WROOM-02-N4,Espressif Systems,RF TXRX MODULE BT PCB TRACE SMD,"11,098",In Stock,,1,1,Cut Tape (CT),1965-ESP32-C3-WROOM-02-N4CT-ND,1.74000,€1.74,1,,1965-ESP32-C3-WROOM-02-N4CT-ND,8,https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf,,May apply on shipments to the U.S.,,Active,RoHS Compliant,3  (168 Hours),5A992C,8517.62.0090,China,,1965-ESP32-C3-WROOM-02-N4CT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5383/ESP32%C2%8D%C2%9DC3%C2%8D%C2%9DWROOM%C2%8D%C2%9D02.jpg
2,MCP73831T-2ACI/OT,Microchip Technology,IC BATT CNTL LI-ION 1CEL SOT23-5,"135,688",In Stock,,1,1,Cut Tape (CT),MCP73831T-2ACI/OTCT-ND,0.70000,€0.70,1,,MCP73831T-2ACI/OTCT-ND,6,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP73831-Family-Data-Sheet-DS20001984H.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8542.39.0001,Thailand,https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_Prop_65_Statement.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Microchip_REACH_Statement.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_EnvCoC.pdf,MCP73831T-2ACI/OTCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2386/150%7EC04-091%7ECT%2C%20OT%7E5.JPG
3,LC05111C25MTTTG,onsemi,IC BATT PROT LI-ION 1CELL 6WDFN,"3,893",In Stock - Non-Stock,,1,1,Cut Tape (CT),488-LC05111C25MTTTGCT-ND,1.36000,€1.36,1,,488-LC05111C25MTTTGCT-ND,32,,,May apply on shipments to the U.S.,,Obsolete,ROHS3 Compliant,3  (168 Hours),EAR99,8542.39.0001,China,https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=LC05111C25MTTTG|https://www.onsemi.com/site/pdf/RoHS-statement.pdf,488-LC05111C25MTTTGCT-ND,
4,CX90M-16P,Hirose Electric Co Ltd,CONN RCP USB3.2 TYP C 24P BRD ED,734,In Stock,,1,1,Cut Tape (CT),H126318CT-ND,2.40000,€2.40,1,,H126318CT-ND,12,https://www.hirose.com/product/document?clcode=CL0480-0522-0-00&productname=CX60-SLDA&series=CX&documenttype=Catalog&lang=en&documentid=D52488_en,,-,,Active,RoHS Compliant,1  (Unlimited),EAR99,8536.69.4040,South Korea,,H126318CT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1133/CX90M-16P.jpg
5,LM3671MF-3.3/NOPB,Texas Instruments,IC REG BUCK 3.3V 600MA SOT23-5,"3,167",In Stock,,1,1,Cut Tape (CT),LM3671MF-3.3/NOPBCT-ND,1.52000,€1.52,1,,LM3671MF-3.3/NOPBCT-ND,6,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm3671,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8542.39.0001,Malaysia,,LM3671MF-3.3/NOPBCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4180/296%7E4073253-4%7EDBV%7E5.JPG
6,TL3340AF160QG,E-Switch,SWITCH TACTILE SPST-NO 0.05A 12V,"165,068",In Stock,,1,1,Cut Tape (CT),EG4627CT-ND,0.49000,€0.49,1,,EG4627CT-ND,15,https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/164/TL3340.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.50.9031,China,https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/document/274/original/RoHS.pdf|http://rohs.e-switch.com/rohs/Series_TL3340_Cert_revA.pdf,EG4627CT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/587/TL3340AF160QG.JPG
7,LSXNE2424KKT2R2MN,Taiyo Yuden,FIXED IND 2.2UH 970MA 180MOHM SM,"2,419",In Stock,,1,1,Cut Tape (CT),587-LSXNE2424KKT2R2MNCT-ND,0.17000,€0.17,1,,587-LSXNE2424KKT2R2MNCT-ND,8,,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8504.50.8000,Philippines,,587-LSXNE2424KKT2R2MNCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4226/MFG_LSXNE2424KKT2R2MN.jpg
8,1551BCLR,Hammond Manufacturing,"BOX ABS TRN CL 1.970""L X 0.980""W",603,In Stock,,1,1,Bag,HM1622-ND,3.10000,€3.10,1,,HM1622-ND,4,https://www.hammfg.com/electronics/small-case/plastic/1551mini,,-,,Active,ROHS3 Compliant,Not Applicable,EAR99,3923.10.9000,United States,https://cdn.hammfg.com/compliance/reach/reach-219-letter.pdf,HM1622-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2531/1551BCLR.jpg
9,CR0402-FX-1002GLF,Bourns Inc.,RES SMD 10K OHM 1% 1/16W 0402,"3,207,648",In Stock,,10,10,Cut Tape (CT),CR0402-FX-1002GLFCT-ND,0.01100,€0.11,1,,CR0402-FX-1002GLFCT-ND,11,https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.bourns.com/docs/rohs-content/bourns-reach-letter.pdf|https://www.bourns.com/docs/Product-MDS/cr0402_mds.pdf|https://www.bourns.com/docs/rohs-cofc/crx_coc.pdf?sfvrsn=db3a74f6_10,CR0402-FX-1002GLFCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/CR0402-(1005-Metric).jpg
10,RC0402FR-07100RL,YAGEO,RES 100 OHM 1% 1/16W 0402,"4,746,828",In Stock,,10,10,Cut Tape (CT),311-100LRCT-ND,0.01400,€0.14,1,,311-100LRCT-ND,18,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-100LRCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/13_0402-%281005-metric%29.jpg
